Years,Wolf,Rabbit,Grass,Dirt
0,100,1030,5132,3738
1,100,1243,5202,3455
2,100,1494,4803,3603
3,100,1784,4386,3730
4,100,2004,3905,3991
5,100,2163,3503,4234
6,100,2279,3124,4497
7,104,2389,2817,4690
8,121,2440,2568,4871
9,153,2424,2347,5076
10,178,2310,2202,5310
11,184,2139,2071,5606
12,187,1900,2073,5840
13,188,1687,2099,6026
14,188,1513,2156,6143
15,188,1348,2258,6206
16,188,1217,2407,6188
17,190,1103,2616,6091
18,197,1052,2794,5957
19,211,992,2943,5854
20,226,934,3155,5685
21,234,907,3359,5500
22,247,895,3516,5342
23,251,902,3679,5168
24,252,918,3839,4991
25,254,947,3947,4852
26,256,973,3965,4806
27,259,1019,4019,4703
28,270,1052,4047,4631
29,284,1089,4040,4587
30,307,1116,3987,4590
31,322,1135,3962,4581
32,340,1131,3899,4630
33,360,1139,3848,4653
34,362,1112,3832,4694
35,364,1086,3800,4750
36,368,1079,3747,4806
37,374,1104,3705,4817
38,383,1091,3676,4850
39,385,1080,3662,4873
40,399,1054,3708,4839
41,420,1044,3646,4890
42,446,1008,3710,4836
43,469,969,3749,4813
44,477,929,3770,4824
45,489,884,3825,4802
46,496,818,3915,4771
47,506,757,4042,4695
48,511,717,4156,4616
49,514,707,4211,4568
50,537,667,4323,4473
51,558,658,4430,4354
52,584,608,4484,4324
53,604,606,4555,4235
54,627,576,4561,4236
55,646,542,4613,4199
56,667,468,4666,4199
57,677,440,4769,4114
58,686,395,4867,4052
59,693,363,4960,3984
60,705,355,5038,3902
61,723,370,5113,3794
62,736,345,5178,3741
63,763,323,5201,3713
64,790,294,5283,3633
65,808,268,5295,3629
66,816,249,5346,3589
67,826,225,5405,3544
68,830,222,5448,3500
69,831,212,5481,3476
70,834,181,5576,3409
71,836,185,5613,3366
72,826,147,5706,3321
73,832,137,5778,3253
74,821,129,5820,3230
75,810,130,5970,3090
76,793,135,6052,3020
77,778,115,6185,2922
78,755,109,6308,2828
79,754,109,6280,2857
80,737,111,6362,2790
81,714,113,6406,2767
82,692,115,6502,2691
83,663,110,6612,2615
84,636,112,6749,2503
85,607,110,6873,2410
86,565,123,6982,2330
87,517,127,7070,2286
88,502,136,7198,2164
89,484,161,7289,2066
90,464,176,7349,2011
91,448,183,7422,1947
92,440,196,7466,1898
93,430,215,7510,1845
94,411,250,7504,1835
95,415,268,7456,1861
96,405,296,7444,1855
97,399,323,7406,1872
98,392,346,7346,1916
99,383,384,7266,1967
100,380,460,7129,2031
101,383,494,7048,2075
102,386,521,6895,2198
103,398,587,6694,2321
104,411,660,6433,2496
105,424,720,6245,2611
106,430,769,5997,2804
107,440,798,5858,2904
108,453,825,5647,3075
109,467,859,5450,3224
110,483,876,5310,3331
111,492,923,5053,3532
112,511,920,4910,3659
113,525,917,4800,3758
114,541,925,4633,3901
115,560,905,4564,3971
116,583,889,4425,4103
117,595,849,4444,4112
118,621,775,4415,4189
119,634,701,4433,4232
120,654,645,4443,4258
121,680,623,4436,4261
122,697,548,4490,4265
123,723,514,4516,4247
124,751,495,4562,4192
125,768,441,4687,4104
126,777,378,4819,4026
127,793,339,4923,3945
128,821,292,5037,3850
129,839,247,5173,3741
130,853,230,5224,3693
131,850,193,5361,3596
132,851,180,5513,3456
133,858,178,5571,3393
134,870,156,5657,3317
135,885,147,5767,3201
136,878,127,5874,3121
137,884,107,5871,3138
138,866,101,6019,3014
139,843,91,6082,2984
140,821,79,6207,2893
141,798,71,6367,2764
142,773,66,6500,2661
143,750,54,6625,2571
144,722,44,6772,2462
145,692,41,6949,2318
146,628,48,7085,2239
147,582,51,7242,2125
148,542,61,7395,2002
149,501,64,7504,1931
150,449,64,7730,1757
151,409,78,7855,1658
152,378,82,8054,1486
153,345,89,8171,1395
154,310,101,8313,1276
155,282,119,8361,1238
156,253,135,8476,1136
157,236,164,8523,1077
158,222,205,8510,1063
159,207,244,8452,1097
160,205,306,8384,1105
161,198,377,8215,1210
162,189,459,8045,1307
163,187,547,7820,1446
164,187,648,7606,1559
165,189,778,7262,1771
166,194,914,6849,2043
167,200,1053,6372,2375
168,214,1223,5932,2631
169,220,1381,5522,2877
170,225,1530,5047,3198
171,239,1682,4539,3540
172,247,1848,3998,3907
173,252,1949,3520,4279
174,263,2039,3105,4593
175,267,1972,2961,4800
176,276,1948,2786,4990
177,289,1905,2588,5218
178,292,1751,2444,5513
179,301,1604,2387,5708
180,313,1440,2406,5841
181,331,1274,2490,5905
182,334,1183,2545,5938
183,356,1038,2685,5921
184,365,941,2796,5898
185,373,855,2934,5838
186,385,772,3139,5704
187,399,702,3351,5548
188,413,650,3582,5355
189,423,618,3758,5201
190,444,552,3958,5046
191,452,565,4193,4790
192,475,547,4303,4675
193,485,534,4477,4504
194,498,524,4667,4311
195,504,526,4766,4204
196,515,538,4843,4104
197,526,524,4898,4052
198,536,526,4961,3977
199,549,514,4988,3949
200,565,503,5047,3885
201,577,502,5118,3803
202,591,492,5128,3789
203,596,496,5101,3807
204,612,512,5129,3747
205,622,516,5093,3769
206,632,510,5128,3730
207,651,497,5175,3677
208,670,472,5200,3658
209,682,417,5217,3684
210,685,396,5205,3714
211,699,362,5240,3699
212,710,373,5335,3582
213,721,353,5311,3615
214,736,343,5368,3553
215,747,318,5423,3512
216,745,300,5433,3522
217,749,297,5504,3450
218,753,283,5528,3436
219,760,273,5596,3371
220,775,259,5631,3335
221,774,240,5701,3285
222,771,228,5796,3205
223,774,239,5835,3152
224,779,233,5841,3147
225,776,214,5890,3120
226,777,199,5923,3101
227,780,194,5915,3111
228,763,182,5992,3063
229,758,176,6088,2978
230,755,162,6149,2934
231,749,153,6239,2859
232,737,144,6298,2821
233,709,144,6486,2661
234,694,146,6506,2654
235,688,143,6618,2551
236,659,147,6725,2469
237,651,152,6774,2423
238,641,169,6863,2327
239,631,166,6886,2317
240,612,161,6968,2259
241,591,158,7051,2200
242,576,165,7117,2142
243,554,181,7225,2040
244,532,182,7269,2017
245,516,189,7304,1991
246,500,207,7332,1961
247,488,219,7360,1933
248,483,246,7397,1874
249,473,255,7396,1876
250,472,267,7377,1884
251,459,286,7321,1934
252,460,312,7316,1912
253,454,354,7232,1960
254,451,393,7117,2039
255,464,423,6997,2116
256,468,448,6840,2244
257,474,493,6704,2329
258,483,507,6502,2508
259,486,532,6423,2559
260,496,590,6216,2698
261,497,603,6032,2868
262,503,657,5874,2966
263,505,686,5713,3096
264,515,739,5586,3160
265,530,755,5377,3338
266,546,769,5238,3447
267,565,797,5101,3537
268,581,767,5005,3647
269,599,753,4990,3658
270,618,745,4876,3761
271,632,716,4785,3867
272,652,699,4768,3881
273,669,657,4725,3949
274,687,615,4730,3968
275,705,563,4728,4004
276,721,508,4798,3973
277,755,459,4840,3946
278,773,414,4898,3915
279,787,402,4942,3869
280,800,367,4986,3847
281,815,343,5068,3774
282,836,319,5123,3722
283,858,309,5164,3669
284,862,301,5191,3646
285,876,267,5215,3642
286,888,226,5293,3593
287,897,194,5352,3557
288,912,174,5500,3414
289,920,152,5500,3428
290,929,142,5550,3379
291,907,127,5593,3373
292,910,102,5745,3243
293,913,95,5820,3172
294,900,82,5939,3079
295,880,79,5986,3055
296,860,74,6098,2968
297,823,69,6230,2878
298,788,75,6376,2761
299,745,78,6562,2615
300,711,76,6713,2500
301,678,79,6891,2352
302,635,72,7022,2271
303,583,72,7198,2147
304,538,67,7384,2011
305,494,71,7572,1863
306,463,84,7715,1738
307,436,91,7881,1592
308,403,107,7979,1511
309,366,117,8104,1413
310,332,126,8236,1306
311,311,140,8320,1229
312,300,156,8405,1139
313,287,184,8401,1128
314,275,222,8329,1174
315,252,261,8326,1161
316,245,320,8197,1238
317,240,383,8018,1359
318,239,448,7871,1442
319,234,546,7597,1623
320,233,640,7358,1769
321,231,736,7074,1959
322,247,871,6680,2202
323,249,1001,6296,2454
324,256,1117,5879,2748
325,266,1238,5497,2999
326,270,1389,5037,3304
327,280,1482,4737,3501
328,285,1620,4261,3834
329,301,1725,3860,4114
330,311,1753,3581,4355
331,322,1790,3228,4660
332,330,1768,3056,4846
333,341,1674,2894,5091
334,354,1568,2811,5267
335,361,1416,2824,5399
336,377,1270,2864,5489
337,390,1175,2903,5532
338,409,1057,3014,5520
339,425,978,3121,5476
340,433,894,3288,5385
341,446,844,3394,5316
342,453,797,3576,5174
343,469,770,3741,5020
344,486,683,3988,4843
345,499,626,4174,4701
346,517,606,4264,4613
347,521,576,4359,4544
348,537,565,4490,4408
349,546,541,4625,4288
350,565,531,4704,4200
351,591,510,4762,4137
352,601,488,4866,4045
353,615,472,4912,4001
354,630,450,4978,3942
355,646,448,4947,3959
356,657,430,5036,3877
357,675,405,5085,3835
358,696,353,5196,3755
359,702,320,5307,3671
360,724,299,5468,3509
361,732,271,5523,3474
362,735,257,5641,3367
363,741,241,5708,3310
364,749,225,5773,3253
365,754,214,5831,3201
366,763,211,5929,3097
367,767,195,6017,3021
368,771,199,6051,2979
369,757,203,6070,2970
370,750,194,6092,2964
371,743,182,6212,2863
372,732,187,6260,2821
373,721,168,6366,2745
374,709,164,6453,2674
375,693,168,6553,2586
376,687,166,6576,2571
377,675,166,6641,2518
378,671,164,6673,2492
379,654,158,6704,2484
380,633,150,6805,2412
381,614,153,6926,2307
382,608,149,6972,2271
383,596,147,7010,2247
384,581,148,7093,2178
385,567,151,7221,2061
386,542,156,7276,2026
387,535,152,7373,1940
388,520,150,7431,1899
389,506,151,7454,1889
390,492,181,7544,1783
391,481,194,7524,1801
392,477,220,7495,1808
393,476,229,7460,1835
394,461,254,7462,1823
395,457,278,7463,1802
396,452,299,7378,1871
397,446,337,7320,1897
398,447,364,7209,1980
399,446,417,7048,2089
400,448,455,7022,2075
401,445,489,6866,2200
402,445,519,6732,2304
403,457,572,6562,2409
404,464,615,6427,2494
405,477,660,6165,2698
406,486,698,5982,2834
407,492,730,5761,3017
408,507,767,5616,3110
409,513,802,5427,3258
410,530,833,5252,3385
411,542,841,5146,3471
412,554,830,4994,3622
413,564,834,4797,3805
414,586,836,4712,3866
415,605,819,4592,3984
416,623,752,4514,4111
417,643,711,4522,4124
418,652,673,4485,4190
419,668,631,4521,4180
420,689,582,4561,4168
421,700,539,4642,4119
422,718,546,4606,4130
423,745,513,4649,4093
424,761,468,4681,4090
425,777,437,4856,3930
426,798,399,4879,3924
427,812,377,4962,3849
428,827,336,5035,3802
429,846,289,5080,3785
430,861,251,5182,3706
431,877,218,5280,3625
432,899,183,5323,3595
433,905,169,5417,3509
434,895,156,5529,3420
435,889,140,5650,3321
436,890,123,5755,3232
437,875,119,5844,3162
438,872,111,5929,3088
439,860,111,6062,2967
440,830,103,6137,2930
441,806,96,6275,2823
442,794,88,6327,2791
443,772,89,6477,2662
444,732,86,6618,2564
445,710,88,6693,2509
446,676,87,6848,2389
447,640,85,6959,2316
448,606,95,7101,2198
449,562,97,7274,2067
450,521,116,7420,1943
451,483,122,7572,1823
452,469,129,7639,1763
453,443,158,7718,1681
454,412,175,7736,1677
455,399,198,7780,1623
456,381,240,7802,1577
457,360,270,7749,1621
458,341,319,7627,1713
459,349,355,7577,1719
460,333,395,7482,1790
461,338,449,7375,1838
462,342,514,7201,1943
463,345,563,7007,2085
464,356,656,6737,2251
465,359,714,6563,2364
466,367,784,6290,2559
467,375,857,6048,2720
468,374,910,5785,2931
469,384,995,5431,3190
470,389,1082,5112,3417
471,399,1123,4890,3588
472,410,1165,4633,3792
473,420,1196,4395,3989
474,439,1243,4162,4156
475,457,1227,4052,4264
476,474,1196,3880,4450
477,487,1173,3722,4618
478,507,1097,3680,4716
479,515,1042,3629,4814
480,527,956,3675,4842
481,541,889,3688,4882
482,552,834,3708,4906
483,573,784,3842,4801
484,592,754,3934,4720
485,621,649,3978,4752
486,635,600,4072,4693
487,660,583,4182,4575
488,686,531,4300,4483
489,702,481,4404,4413
490,720,439,4532,4309
491,744,403,4598,4255
492,759,379,4691,4171
493,766,331,4840,4063
494,787,287,4962,3964
495,807,268,5028,3897
496,825,246,5166,3763
497,844,234,5264,3658
498,859,209,5289,3643
499,858,189,5403,3550
500,847,169,5503,3481
501,857,159,5563,3421
502,843,149,5677,3331
503,835,146,5747,3272
504,827,127,5851,3195
505,805,117,5998,3080
506,790,116,6063,3031
507,777,112,6214,2897
508,754,116,6325,2805
509,740,119,6406,2735
510,727,111,6503,2659
511,702,113,6589,2596
512,681,118,6723,2478
513,653,120,6846,2381
514,635,118,6952,2295
515,606,114,6983,2297
516,576,121,7094,2209
517,549,134,7221,2096
518,523,121,7415,1941
519,493,138,7511,1858
520,469,159,7593,1779
521,453,172,7633,1742
522,425,203,7708,1664
523,406,237,7712,1645
524,400,266,7688,1646
525,389,298,7580,1733
526,376,330,7477,1817
527,366,382,7471,1781
528,362,455,7295,1888
529,348,514,7147,1991
530,358,565,6991,2086
531,366,641,6832,2161
532,374,672,6553,2401
533,380,747,6327,2546
534,390,839,5978,2793
535,399,903,5645,3053
536,410,979,5416,3195
537,422,996,5195,3387
538,433,1032,5021,3514
539,445,1075,4821,3659
540,464,1073,4593,3870
541,485,1118,4420,3977
542,502,1102,4235,4161
543,518,1053,4124,4305
544,534,1007,3979,4480
545,551,991,3911,4547
546,558,970,3839,4633
547,576,910,3846,4668
548,594,857,3780,4769
549,605,797,3777,4821
550,623,728,3848,4801
551,646,659,3935,4760
552,673,605,4043,4679
553,701,520,4143,4636
554,726,470,4264,4540
555,741,414,4398,4447
556,764,382,4542,4312
557,780,334,4717,4169
558,797,291,4810,4102
559,818,279,4918,3985
560,827,255,4968,3950
561,830,240,5112,3818
562,841,207,5206,3746
563,853,190,5334,3623
564,857,193,5359,3591
565,865,155,5457,3523
566,876,140,5527,3457
567,866,117,5598,3419
568,869,100,5760,3271
569,869,103,5808,3220
570,850,90,5915,3145
571,838,82,6000,3080
572,821,84,6125,2970
573,800,78,6239,2883
574,768,75,6419,2738
575,737,66,6497,2700
576,703,70,6646,2581
577,652,73,6817,2458
578,624,67,6971,2338
579,580,70,7113,2237
580,542,82,7274,2102
581,511,96,7455,1938
582,477,107,7604,1812
583,451,124,7722,1703
584,424,144,7803,1629
585,398,153,7870,1579
586,355,175,7944,1526
587,321,215,7990,1474
588,298,251,7993,1458
589,280,302,7994,1424
590,270,337,7928,1465
591,271,379,7814,1536
592,263,457,7695,1585
593,263,533,7473,1731
594,267,603,7256,1874
595,279,674,7001,2046
596,285,795,6681,2239
597,295,891,6333,2481
598,305,977,6063,2655
599,318,1125,5662,2895
600,328,1202,5224,3246
601,341,1295,4897,3467
602,351,1376,4503,3770
603,360,1432,4255,3953
604,371,1478,4009,4142
605,388,1454,3690,4468
606,399,1485,3548,4568
607,413,1405,3426,4756
608,427,1348,3333,4892
609,443,1313,3229,5015
610,464,1179,3186,5171
611,472,1114,3234,5180
612,491,1023,3305,5181
613,504,911,3368,5217
614,523,845,3422,5210
615,540,751,3574,5135
616,556,686,3747,5011
617,575,638,3848,4939
618,595,574,3982,4849
619,607,548,4104,4741
620,635,494,4220,4651
621,651,441,4340,4568
622,664,433,4460,4443
623,682,407,4601,4310
624,696,373,4660,4271
625,707,337,4818,4138
626,721,318,4985,3976
627,736,303,5085,3876
628,748,302,5159,3791
629,747,288,5215,3750
630,755,267,5284,3694
631,767,245,5353,3635
632,778,222,5471,3529
633,789,218,5472,3521
634,798,194,5559,3449
635,800,184,5587,3429
636,794,170,5761,3275
637,795,162,5891,3152
638,787,150,5984,3079
639,775,154,6053,3018
640,762,150,6110,2978
641,754,142,6112,2992
642,736,131,6258,2875
643,728,134,6292,2846
644,703,126,6401,2770
645,688,127,6525,2660
646,676,130,6631,2563
647,658,121,6745,2476
648,633,129,6790,2448
649,620,129,6861,2390
650,595,138,6907,2360
651,575,136,7010,2279
652,557,133,7055,2255
653,538,141,7135,2186
654,527,165,7210,2098
655,508,180,7313,1999
656,473,191,7380,1956
657,460,216,7359,1965
658,444,252,7363,1941
659,428,275,7364,1933
660,418,296,7415,1871
661,406,328,7456,1810
662,395,380,7363,1862
663,388,427,7203,1982
664,390,468,7062,2080
665,389,512,6987,2112
666,396,554,6778,2272
667,399,593,6622,2386
668,402,660,6434,2504
669,409,761,6161,2669
670,420,788,5910,2882
671,426,857,5613,3104
672,430,950,5337,3283
673,442,1004,5064,3490
674,457,1059,4772,3712
675,477,1058,4546,3919
676,497,1045,4411,4047
677,520,1028,4224,4228
678,534,1016,4175,4275
679,552,1016,4112,4320
680,574,981,3991,4454
681,588,960,3977,4475
682,603,908,3899,4590
683,616,837,3904,4643
684,635,761,3934,4670
685,650,721,3987,4642
686,665,669,4101,4565
687,691,636,4142,4531
688,714,571,4173,4542
689,742,504,4317,4437
690,760,467,4453,4320
691,779,429,4521,4271
692,802,373,4623,4202
693,811,322,4697,4170
694,836,266,4849,4049
695,855,245,5023,3877
696,869,218,5101,3812
697,894,193,5160,3753
698,891,170,5325,3614
699,895,151,5421,3533
700,895,121,5563,3421
701,911,120,5657,3312
702,912,119,5781,3188
703,900,111,5843,3146
704,883,98,5896,3123
705,871,84,6042,3003
706,851,88,6106,2955
707,819,70,6160,2951
708,772,78,6336,2814
709,729,79,6423,2769
710,692,75,6582,2651
711,656,71,6739,2534
712,613,75,6917,2395
713,580,82,7099,2239
714,536,85,7287,2092
715,499,95,7449,1957
716,481,107,7557,1855
717,445,121,7698,1736
718,408,124,7810,1658
719,369,143,7921,1567
720,344,156,8069,1431
721,320,181,8110,1389
722,306,216,8149,1329
723,292,242,8127,1339
724,282,295,8050,1373
725,274,330,7990,1406
726,269,379,7892,1460
727,265,459,7717,1559
728,264,527,7543,1666
729,262,622,7283,1833
730,270,718,6970,2042
731,286,823,6676,2215
732,286,939,6296,2479
733,295,1040,5929,2736
734,304,1176,5558,2962
735,313,1273,5162,3252
736,323,1363,4779,3535
737,330,1474,4371,3825
738,338,1556,4096,4010
739,348,1575,3777,4300
740,361,1575,3573,4491
741,380,1523,3387,4710
742,395,1464,3221,4920
743,409,1397,3150,5044
744,424,1328,3012,5236
745,435,1226,2954,5385
746,447,1168,2871,5514
747,466,1038,2926,5570
748,476,953,2980,5591
749,491,854,3103,5552
750,506,775,3279,5440
751,521,717,3443,5319
752,537,638,3550,5275
753,564,582,3704,5150
754,589,517,3844,5050
755,602,498,4024,4876
756,621,468,4162,4749
757,632,433,4327,4608
758,641,428,4563,4368
759,657,391,4714,4238
760,668,378,4856,4098
761,687,363,4987,3963
762,702,343,5073,3882
763,711,328,5113,3848
764,732,324,5140,3804
765,739,310,5194,3757
766,750,278,5280,3692
767,763,257,5370,3610
768,761,243,5543,3453
769,770,225,5606,3399
770,763,215,5618,3404
771,761,220,5627,3392
772,764,209,5700,3327
773,766,183,5830,3221
774,763,185,5882,3170
775,759,171,5940,3130
776,746,187,6013,3054
777,735,167,6109,2989
778,724,163,6196,2917
779,719,147,6213,2921
780,710,135,6307,2848
781,691,125,6463,2721
782,674,139,6567,2620
783,652,141,6617,2590
784,639,134,6769,2458
785,612,131,6864,2393
786,604,129,6962,2305
787,580,129,7091,2200
788,565,130,7287,2018
789,546,127,7339,1988
790,526,136,7357,1981
791,512,128,7481,1879
792,495,134,7580,1791
793,484,141,7611,1764
794,463,151,7605,1781
795,448,178,7678,1696
796,436,197,7669,1698
797,415,226,7717,1642
798,397,260,7687,1656
799,378,273,7665,1684
800,372,319,7583,1726
801,368,362,7545,1725
802,369,408,7410,1813
803,373,478,7249,1900
804,383,518,6984,2115
805,389,555,6802,2254
806,389,633,6605,2373
807,395,678,6425,2502
808,405,724,6233,2638
809,410,778,6066,2746
810,424,854,5836,2886
811,444,924,5549,3083
812,458,970,5223,3349
813,468,1015,5052,3465
814,481,1003,4884,3632
815,502,1003,4674,3821
816,525,1005,4503,3967
817,534,956,4402,4108
818,550,929,4313,4208
819,575,924,4254,4247
820,587,876,4146,4391
821,601,841,4149,4409
822,614,778,4193,4415
823,624,739,4250,4387
824,644,678,4332,4346
825,668,650,4312,4370
826,682,610,4353,4355
827,696,546,4360,4398
828,717,482,4491,4310
829,747,440,4611,4202
830,762,419,4674,4145
831,785,393,4779,4043
832,805,364,4789,4042
833,819,317,4840,4024
834,829,275,4970,3926
835,837,261,5089,3813
836,855,225,5189,3731
837,870,203,5323,3604
838,878,190,5408,3524
839,883,165,5515,3437
840,885,140,5589,3386
841,871,124,5712,3293
842,868,109,5803,3220
843,854,101,5931,3114
844,841,96,5953,3110
845,837,88,6077,2998
846,821,89,6175,2915
847,794,73,6306,2827
848,758,67,6396,2779
849,723,73,6522,2682
850,692,69,6660,2579
851,657,77,6821,2445
852,622,69,6999,2310
853,589,74,7124,2213
854,532,82,7319,2067
855,499,93,7543,1865
856,468,103,7615,1814
857,428,110,7753,1709
858,399,126,7870,1605
859,369,143,7985,1503
860,352,168,8055,1425
861,320,200,8041,1439
862,296,243,8084,1377
863,279,286,8059,1376
864,271,344,7959,1426
865,264,406,7775,1555
866,262,479,7599,1660
867,256,538,7460,1746
868,248,626,7262,1864
869,263,714,7006,2017
870,262,817,6680,2241
871,264,925,6365,2446
872,271,1027,6025,2677
873,279,1158,5646,2917
874,287,1317,5226,3170
875,297,1411,4812,3480
876,302,1541,4408,3749
877,310,1605,4022,4063
878,316,1704,3733,4247
879,326,1708,3429,4537
880,335,1712,3222,4731
881,343,1642,3065,4950
882,355,1583,2955,5107
883,366,1514,2841,5279
884,380,1431,2725,5464
885,397,1290,2770,5543
886,406,1142,2785,5667
887,418,1039,2895,5648
888,430,960,3021,5589
889,446,876,3105,5573
890,461,812,3205,5522
891,470,742,3377,5411
892,493,655,3563,5289
893,509,603,3762,5126
894,527,583,3968,4922
895,544,545,4090,4821
896,562,505,4270,4663
897,578,488,4370,4564
898,588,484,4458,4470
899,611,410,4548,4431
900,625,383,4728,4264
901,645,369,4944,4042
902,657,353,5057,3933
903,672,337,5139,3852
904,684,297,5276,3743
905,695,299,5361,3645
906,718,288,5374,3620
907,729,284,5463,3524
908,730,267,5515,3488
909,737,240,5640,3383
910,748,239,5698,3315
911,748,207,5779,3266
912,751,192,5801,3256
913,750,180,5898,3172
914,746,167,6003,3084
915,746,160,6137,2957
916,737,152,6193,2918
917,726,158,6230,2886
918,721,160,6351,2768
919,714,164,6370,2752
920,701,152,6389,2758
921,698,158,6429,2715
922,671,162,6492,2675
923,640,167,6598,2595
924,625,162,6724,2489
925,612,155,6863,2370
926,598,160,7002,2240
927,579,163,7088,2170
928,564,171,7139,2126
929,544,165,7183,2108
930,523,182,7274,2021
931,518,184,7250,2048
932,508,187,7319,1986
933,491,206,7300,2003
934,489,213,7357,1941
935,489,236,7347,1928
936,483,266,7325,1926
937,480,313,7219,1988
938,464,348,7159,2029
939,460,348,7093,2099
940,451,386,7037,2126
941,447,428,6989,2136
942,445,450,6895,2210
943,448,472,6772,2308
944,457,501,6708,2334
945,471,541,6537,2451
946,470,578,6280,2672
947,477,607,6168,2748
948,486,638,6045,2831
949,489,656,5857,2998
950,507,691,5662,3140
951,518,722,5568,3192
952,532,717,5470,3281
953,542,727,5339,3392
954,558,735,5194,3513
955,570,745,5143,3542
956,579,753,5082,3586
957,597,750,4984,3669
958,618,714,4904,3764
959,628,709,4856,3807
960,646,672,4812,3870
961,668,594,4738,4000
962,694,542,4784,3980
963,718,533,4834,3915
964,733,477,4848,3942
965,743,433,4946,3878
966,763,422,4998,3817
967,780,382,5070,3768
968,799,353,5104,3744
969,818,334,5119,3729
970,831,292,5215,3662
971,844,256,5279,3621
972,859,222,5350,3569
973,883,190,5453,3474
974,891,156,5566,3387
975,897,147,5632,3324
976,907,139,5757,3197
977,913,127,5786,3174
978,916,115,5830,3139
979,901,103,5875,3121
980,878,96,6047,2979
981,870,74,6143,2913
982,859,71,6224,2846
983,842,72,6302,2784
984,811,76,6417,2696
985,768,70,6581,2581
986,744,74,6663,2519
987,696,70,6836,2398
988,655,81,6953,2311
989,626,88,7079,2207
990,581,92,7244,2083
991,547,99,7370,1984
992,502,102,7524,1872
993,460,116,7685,1739
994,432,121,7770,1677
995,397,147,7897,1559
996,377,162,7930,1531
997,349,169,7982,1500
998,329,192,8013,1466
999,314,233,8018,1435
